#LVM I						
#t	X0=2	Y0=1.3	X0=1.5	Y0=1.5	X0=1.0	Y0=1.5
0	2	1.3	1.5	1.5	1	1.5
0.5	2.06774	1.368996	1.536483	1.53939	1.025299	1.500945
1	2.129971	1.446355	1.570607	1.582608	1.051138	1.503813
1.5	2.185124	1.532586	1.601868	1.629705	1.077421	1.508652
2	2.231546	1.628099	1.629751	1.68069	1.104038	1.51551
2.5	2.267558	1.733145	1.653737	1.735523	1.130867	1.524435
3	2.291532	1.847749	1.673324	1.794103	1.15777	1.535475
3.5	2.301989	1.971639	1.688039	1.856254	1.184595	1.548675
4	2.297709	2.10417	1.697457	1.92172	1.211176	1.564076
4.5	2.277846	2.244261	1.701221	1.990153	1.237331	1.581715
5	2.24204	2.39035	1.699058	2.061108	1.262864	1.601624
5.5	2.190499	2.54039	1.690801	2.134038	1.287569	1.623822
6	2.124046	2.691882	1.676399	2.208296	1.311225	1.648321
6.5	2.044113	2.841968	1.65593	2.283146	1.333604	1.675118
7	1.952675	2.987569	1.629604	2.357771	1.354472	1.704194
7.5	1.852126	3.125557	1.597762	2.431292	1.373591	1.735511
8	1.745117	3.252958	1.560867	2.502796	1.390724	1.769007
8.5	1.634373	3.367134	1.519488	2.571359	1.40564	1.804597
9	1.522516	3.465939	1.47428	2.636081	1.41812	1.842166
9.5	1.411916	3.547825	1.425958	2.696112	1.427958	1.881568
10	1.304578	3.611886	1.375269	2.750684	1.434975	1.922624
10.5	1.202089	3.657844	1.322967	2.799136	1.439016	1.96512
11	1.105605	3.685991	1.269784	2.840931	1.43996	2.008806
11.5	1.015871	3.697094	1.216407	2.875671	1.437727	2.053398
12	0.933279	3.692285	1.163464	2.903102	1.432278	2.098577
12.5	0.857924	3.672952	1.111506	2.923112	1.423619	2.143994
13	0.789678	3.640629	1.061002	2.935726	1.411805	2.189272
13.5	0.728249	3.596917	1.012339	2.941089	1.396939	2.234014
14	0.673237	3.543406	0.965819	2.939456	1.379172	2.27781
14.5	0.624181	3.481628	0.921667	2.931169	1.358696	2.320243
15	0.580592	3.41302	0.880037	2.916643	1.335744	2.3609
15.5	0.54198	3.338902	0.841021	2.896342	1.310583	2.399378
16	0.507872	3.260468	0.804658	2.870768	1.283503	2.435298
16.5	0.477821	3.178778	0.770946	2.840439	1.254818	2.468308
17	0.451416	3.09477	0.739848	2.805882	1.224847	2.498097
17.5	0.428283	3.009257	0.711299	2.767615	1.193916	2.524396
18	0.408086	2.922942	0.685217	2.726146	1.162344	2.546985
18.5	0.390526	2.836428	0.661509	2.681959	1.130438	2.565698
