#LVM II					at equilibrium	
#t	X0=2	Y0=1.3	X0=0.5	Y0=0.5	x	y
0	2	1.3	0.5	0.5	1	1.9
0.5	2.046943	1.368293	0.537709	0.488109	1	1.9
1	2.087042	1.443318	0.578475	0.477436	1	1.9
1.5	2.119211	1.525216	0.622512	0.467987	1	1.9
2	2.142416	1.614001	0.670045	0.459776	1	1.9
2.5	2.155718	1.709519	0.721302	0.452826	1	1.9
3	2.158333	1.811417	0.776519	0.447169	1	1.9
3.5	2.149684	1.919103	0.835931	0.442849	1	1.9
4	2.129455	2.031724	0.899776	0.439924	1	1.9
4.5	2.097633	2.148156	0.968283	0.438467	1	1.9
5	2.054541	2.267006	1.041672	0.438567	1	1.9
5.5	2.000842	2.38664	1.120146	0.440335	1	1.9
6	1.937528	2.505238	1.203884	0.443907	1	1.9
6.5	1.86588	2.620855	1.293029	0.449446	1	1.9
7	1.787401	2.731518	1.38768	0.457149	1	1.9
7.5	1.703747	2.835319	1.487872	0.467255	1	1.9
8	1.616629	2.930505	1.593567	0.480049	1	1.9
8.5	1.527733	3.015566	1.704628	0.495874	1	1.9
9	1.43864	3.089301	1.820799	0.515139	1	1.9
9.5	1.350763	3.15085	1.941676	0.538334	1	1.9
10	1.265305	3.199714	2.066679	0.566045	1	1.9
10.5	1.183237	3.235745	2.195013	0.598965	1	1.9
11	1.105293	3.25911	2.325633	0.63792	1	1.9
11.5	1.031987	3.270249	2.457198	0.68388	1	1.9
12	0.963629	3.269822	2.588032	0.737983	1	1.9
12.5	0.900359	3.258653	2.716081	0.801544	1	1.9
13	0.842179	3.237678	2.838878	0.876066	1	1.9
13.5	0.788981	3.207895	2.95352	0.96323	1	1.9
14	0.740581	3.170326	3.056678	1.064864	1	1.9
14.5	0.696738	3.125983	3.144632	1.182879	1	1.9
15	0.65718	3.075845	3.213376	1.319153	1	1.9
15.5	0.621619	3.020836	3.258785	1.475356	1	1.9
16	0.589762	2.961818	3.276879	1.652703	1	1.9
16.5	0.561323	2.899582	3.264173	1.851642	1	1.9
17	0.536027	2.834847	3.218102	2.071499	1	1.9
17.5	0.513617	2.768256	3.137478	2.310135	1	1.9
18	0.493854	2.700383	3.022881	2.563702	1	1.9
18.5	0.47652	2.631735	2.876908	2.826586	1	1.9
19	0.461417	2.562755	2.704158	3.091622	1	1.9
19.5	0.448368	2.493829	2.510915	3.350613	1	1.9
20	0.437216	2.42529	2.304547	3.595088	1	1.9
20.5	0.427819	2.357425	2.092743	3.817164	1	1.9
21	0.420056	2.290478	1.882725	4.01033	1	1.9
21.5	0.41382	2.224653	1.680619	4.169988	1	1.9
22	0.409018	2.160125	1.491071	4.293686	1	1.9
22.5	0.405573	2.097037	1.317142	4.38102	1	1.9
23	0.403418	2.035507	1.160415	4.433313	1	1.9
23.5	0.402497	1.975631	1.021264	4.453171	1	1.9
24	0.402765	1.917485	0.899159	4.444014	1	1.9
24.5	0.404187	1.86113	0.792979	4.409661	1	1.9
25	0.406737	1.80661	0.701271	4.354009	1	1.9
25.5	0.410394	1.753959	0.622445	4.280798	1	1.9
26	0.415147	1.703201	0.554911	4.193474	1	1.9
26.5	0.420991	1.654351	0.497167	4.09511	1	1.9
27	0.427928	1.607415	0.447846	3.988385	1	1.9
27.5	0.435963	1.562395	0.405734	3.875591	1	1.9
28	0.44511	1.519288	0.369774	3.758659	1	1.9
28.5	0.455385	1.478088	0.339057	3.639196	1	1.9
29	0.466811	1.438786	0.312809	3.518527	1	1.9
29.5	0.479414	1.40137	0.290378	3.397729	1	1.9
30	0.493223	1.365828	0.271212	3.277675	1	1.9
30.5	0.508271	1.332149	0.25485	3.159062	1	1.9
31	0.524597	1.300319	0.240906	3.04244	1	1.9
31.5	0.542238	1.270328	0.229058	2.928237	1	1.9
32	0.561236	1.242165	0.219038	2.816784	1	1.9
32.5	0.581635	1.215824	0.21062	2.708327	1	1.9
33	0.603479	1.191298	0.203619	2.603044	1	1.9
33.5	0.626812	1.168586	0.197879	2.501058	1	1.9
34	0.651678	1.147689	0.193274	2.402448	1	1.9
34.5	0.678122	1.128612	0.189696	2.307255	1	1.9
35	0.706184	1.111365	0.187059	2.21549	1	1.9
35.5	0.735901	1.095964	0.185294	2.127141	1	1.9
36	0.767306	1.082429	0.184344	2.042177	1	1.9
36.5	0.800427	1.070787	0.184164	1.960552	1	1.9
37	0.835281	1.061072	0.184721	1.882207	1	1.9
37.5	0.871878	1.053324	0.185992	1.807076	1	1.9
38	0.910215	1.047594	0.18796	1.735084	1	1.9
38.5	0.950274	1.043939	0.190616	1.666153	1	1.9
39	0.992022	1.042427	0.193961	1.600201	1	1.9
39.5	1.035405	1.043135	0.197997	1.537143	1	1.9
40	1.080346	1.046152	0.202738	1.476893	1	1.9
40.5	1.126743	1.051576	0.208198	1.419367	1	1.9
41	1.174465	1.059519	0.214401	1.364479	1	1.9
41.5	1.223345	1.070104	0.221374	1.312146	1	1.9
42	1.273184	1.083466	0.22915	1.262285	1	1.9
42.5	1.323739	1.099753	0.237767	1.214816	1	1.9
43	1.374728	1.119124	0.247269	1.169662	1	1.9
43.5	1.425819	1.141748	0.257705	1.126748	1	1.9
44	1.476635	1.167802	0.269128	1.086001	1	1.9
44.5	1.526749	1.197471	0.2816	1.047353	1	1.9
45	1.575685	1.230941	0.295185	1.010738	1	1.9
45.5	1.622919	1.268395	0.309955	0.976094	1	1.9
46	1.667884	1.310008	0.325987	0.943364	1	1.9
46.5	1.709976	1.355937	0.343366	0.912493	1	1.9
47	1.748563	1.406314	0.362181	0.883431	1	1.9
47.5	1.782994	1.461232	0.382527	0.856132	1	1.9
48	1.812619	1.520732	0.404509	0.830554	1	1.9
48.5	1.836805	1.584789	0.428234	0.806661	1	1.9
49	1.854957	1.653297	0.453817	0.784422	1	1.9
49.5	1.866543	1.726053	0.481381	0.76381	1	1.9
50	1.871119	1.802742	0.511051	0.744803	1	1.9
50.5	1.868352	1.882925	0.542961	0.727389	1	1.9
51	1.858044	1.966034	0.577247	0.711557	1	1.9
51.5	1.840153	2.051363	0.614051	0.697308	1	1.9
52	1.814801	2.138081	0.653517	0.684649	1	1.9
52.5	1.782286	2.225241	0.695789	0.673593	1	1.9
53	1.743074	2.311798	0.741013	0.664167	1	1.9
53.5	1.697786	2.396648	0.789332	0.656406	1	1.9
54	1.647178	2.478654	0.840882	0.650357	1	1.9
54.5	1.592112	2.556693	0.895791	0.64608	1	1.9
55	1.533516	2.629695	0.954176	0.643652	1	1.9
55.5	1.472352	2.696685	1.016136	0.643165	1	1.9
56	1.409575	2.756816	1.081745	0.64473	1	1.9
56.5	1.346099	2.809395	1.151049	0.648484	1	1.9
57	1.28277	2.853906	1.224057	0.654583	1	1.9
57.5	1.220342	2.890014	1.300731	0.663218	1	1.9
58	1.159463	2.917564	1.380975	0.674608	1	1.9
58.5	1.10067	2.936571	1.464626	0.689011	1	1.9
59	1.044386	2.947207	1.551438	0.706729	1	1.9
59.5	0.990926	2.949773	1.641068	0.728108	1	1.9
60	0.940508	2.944683	1.733061	0.753548	1	1.9
60.5	0.893263	2.932432	1.826832	0.783511	1	1.9
61	0.849246	2.913576	1.921649	0.818517	1	1.9
61.5	0.808455	2.888711	2.016616	0.859157	1	1.9
62	0.770838	2.858451	2.110656	0.906092	1	1.9
62.5	0.736307	2.823411	2.202498	0.960046	1	1.9
63	0.704747	2.784198	2.290672	1.021808	1	1.9
63.5	0.676028	2.741397	2.373509	1.092211	1	1.9
64	0.650008	2.695565	2.449154	1.172109	1	1.9
64.5	0.626542	2.647223	2.515597	1.262339	1	1.9
65	0.605483	2.596857	2.570722	1.363665	1	1.9
65.5	0.58669	2.544915	2.612385	1.476706	1	1.9
66	0.570027	2.491803	2.638515	1.601844	1	1.9
66.5	0.555366	2.437891	2.647248	1.739113	1	1.9
67	0.542586	2.383511	2.637071	1.888087	1	1.9
